FLUXO ATUARIAL   -   CIVIL   -   PLANO PREVIDENCIÁRIO   -   BENEFÍCIOS AVALIADOS EM REGIME FINANCEIRO DE CAPITALIZAÇÃO   -   GERAÇÃO ATUAL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
INFORMAÇÕES PRELIMINARES;;;;;CONTRIBUIÇÕES FUTURAS DE APOSENTADOS  E PENSIONISTAS -  BENEFÍCIOS CONCEDIDOS;;;;;;;CONTRIBUIÇÕES FUTURAS DO ENTE - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIBUIÇÕES FUTURAS DOS ATIVOS - BENEFÍCIOS A CONCEDER;;;;;;;;CONTRIB. FUT. APOSENTADOS - BENEF. A CONCEDER;;;;;CONTRIB. FUT. PENSIONISTAS - BENEF. A CONCEDER;;;;;;OUTRAS RECEITAS - BENEF. A CONCEDER;;;;TOTAL;ENCARGOS - BENEFÍCIOS CONCEDIDOS;;;;;;;ENCARGOS - BENEFÍCIOS A CONCEDER;;;;;;;;;;TOTAL;RESULTADOS;;;;
100101;100201;100301;100401;109001;111000;111101;111201;111301;111401;112000;119900;121000;121100;121200;121300;121400;121500;121600;121700;122000;122100;122200;122300;122400;122500;122600;122700;123000;123100;123200;123300;123400;124000;124100;124200;124300;124400;124500;129000;130101;130201;139901;190000;210000;211001;212001;213001;214001;215001;219901;220000;221000;222000;223000;224000;225000;226000;227000;229000;239901;240000;250001;260001;270001;280001;290001
Instante;Ano;Taxa de Juros (%);Fator de Desconto;Base de Cálculo da Contribuição Normal;Benefícios Concedidos - Contribuições dos Aposentados;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Aposentadorias Programadas;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Aposentadorias Especiais de Professores;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Outras Aposentadorias Especiais;Benefícios Concedidos - Contribuições Futuras dos Aposentados - Aposentadorias por Invalidez;Benefícios Concedidos - Contribuições  dos Pensionistas;Benefícios Concedidos - Compensação Previdenciária a Receber;Benefícios a Conceder - Contribuições do Ente;Benefícios a Conceder - Contribuições Futuras do Ente  - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras do Ente  - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras do Ente  - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras do Ente  - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições Futuras do Ente  - Pensões Por Morte de Servidores em Atividade;Benefícios a Conceder - Contribuições Futuras do Ente  - Pensões Por Morte de Aposentados;Benefícios a Conceder - Contribuições Futuras do Ente  -  Outros Benefícios e Auxílios;Benefícios a Conceder - Contribuições dos Segurados Ativos;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos  - Pensões Por Morte de Segurados em Atividade;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos - Pensões Por Morte de Aposentados;Benefícios a Conceder - Contribuições Futuras dos Segurados Ativos  -  Outros Benefícios e Auxílios;Benefícios a Conceder - Contribuições dos Aposentados;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras dos Aposentados  - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições dos Pensionistas;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Aposentadorias Programadas;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Aposentadorias Especiais de Professores;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Outras Aposentadorias Especiais;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Aposentadorias por Invalidez;Benefícios a Conceder - Contribuições Futuras dos Pensionistas - Pensões Por Morte de Segurados em Atividade;Benefícios a Conceder - Compensação Previdenciária a Receber;Plano de Amortização do Déficit Atuarial estabelecido em lei;Parcelamentos de Débitos Previdenciários;Valor Atual da Cobertura da Insuficiência Financeira (Outras Receitas);(A) TOTAL DAS RECEITAS COM CONTRIBUIÇÕES E COMPENSAÇÃO PREVIDENCIÁRIA;Benefícios Concedidos -  Encargos;Benefícios Concedidos - Encargos - Aposentadorias Programadas;Benefícios Concedidos - Encargos - Aposentadorias Especiais de Professores;Benefícios Concedidos - Encargos - Outras Aposentadorias Especiais;Benefícios Concedidos - Encargos - Aposentadorias por Invalidez;Benefícios Concedidos - Encargos - Pensões Por Morte;Benefícios Concedidos - Encargos - Compensação Previdenciária a Pagar;Benefícios a Conceder - Encargos;Benefícios a Conceder - Encargos -  Aposentadorias Programadas;Benefícios a Conceder - Encargos -  Aposentadorias Especiais de Professores;Benefícios a Conceder - Encargos -  Outras Aposentadorias Especiais;Benefícios a Conceder - Encargos -  Aposentadorias por Invalidez;Benefícios a Conceder - Encargos -  Pensões Por Morte de Servidores em Atividade;Benefícios a Conceder - Encargos -  Pensões Por Morte de Aposentados;Benefícios a Conceder - Encargos -  Outros Benefícios e Auxílios;Benefícios a Conceder - Encargos -  Compensação Previdenciária a Pagar;Outras Despesas;(B) TOTAL  DAS DESPESAS COM BENEFÍCIOS DO PLANO;(C) INSUFICIÊNCIA OU EXCEDENTE FINANCEIRO (A-B);(D) SALDO ACUMULADO DO EXERCÍCIO  A VALOR ATUAL;(E) RENTABILIDADE ESPERADA (%);(F) Rentabilidade dos Ativos que compõem os Recursos Garantidores;(G) EVOLUÇÃO DOS RECURSOS GARANTIDORES (Informar o valor acumulado na data da avaliação)
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.843.876,30
0;2019;6,00;1,00;9.761.741,09417;0,00;0,00;0,00;0,00;0,00;0,00;1.638,00904;1.828.024,89632;1.078.140,18548;469.461,77409;0,00;64.433,91905;76.895,04178;122.890,63546;16.203,34045;925.102,77455;545.589,71211;237.624,73198;0,00;32.602,25895;38.907,33485;62.180,17433;8.198,56233;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;44.210,42777;71.045,28378;1.613,04;0,00;2.871.634,43146;114.296,89053;85.885,13053;0,00;0,00;14.636,96;13.774,80;0,00;302.332,63073;76.588,60106;135.101,96048;0,00;13.101,63335;43.295,14355;3.439,98513;24.401,90278;6.403,40438;0,00;416.629,52126;2.455.004,9102;34.298.881,2102;6,00;2.057.932,87261;36.356.814,08281
1;2020;6,00;0,9434;8.947.163,99292;0,00;0,00;0,00;0,00;0,00;0,00;2.134,50677;1.675.483,74545;988.173,82614;430.287,12201;0,00;59.057,17381;70.478,46715;112.635,91792;14.851,23841;848.008,7051;500.079,76971;217.880,60189;0,00;29.881,73468;35.660,67795;56.991,49481;7.514,42606;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;57.611,42406;96.782,23479;0,00;0,00;2.680.020,61618;102.910,21876;85.203,7148;0,00;0,00;14.698,04332;3.008,46064;0,00;423.183,68368;83.414,93798;241.477,00397;0,00;24.717,53489;38.234,51152;4.629,63648;22.365,66447;8.344,39438;0,00;526.093,90244;2.153.926,71374;38.388.828,54455;6,00;2.310.644,44779;40.821.385,24434
2;2021;6,00;0,89;8.953.237,80958;0,00;0,00;0,00;0,00;0,00;0,00;3.099,94762;1.676.621,15403;988.844,65174;430.579,22408;0,00;59.097,265;70.526,31173;112.712,38124;14.861,32023;848.823,21399;500.585,72274;218.100,87395;0,00;29.902,02001;35.684,88634;57.030,1837;7.519,52725;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;83.669,16364;123.603,01161;0,00;0,00;2.735.816,49088;102.095,44148;84.517,02494;0,00;0,00;14.574,63784;3.003,7787;0,00;696.841,36338;235.048,90769;328.464,38488;0,00;36.662,54965;53.885,25065;8.280,84567;22.380,84748;12.118,57736;0,00;798.936,80486;1.936.879,68602;42.545.208,1649;6,00;2.565.495,89582;45.323.760,82618
3;2022;6,00;0,83962;8.835.850,15137;0,00;0,00;0,00;0,00;0,00;0,00;3.762,99702;1.654.638,645;975.879,71543;424.933,81536;0,00;58.322,42916;69.601,62742;111.234,58709;14.666,47054;837.864,28495;494.067,53339;215.366,38098;0,00;29.509,96876;35.217,01479;56.282,44977;7.420,93726;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;101.565,20449;151.542,71312;0,00;0,00;2.749.373,84457;101.214,91614;83.772,8188;0,00;0,00;14.443,33962;2.998,75772;0,00;896.898,32728;258.773,71109;469.679,3978;0,00;48.984,92883;69.804,51925;12.857,73635;22.087,4078;14.710,62616;0,00;998.113,24342;1.751.260,60115;46.794.154,25212;6,00;2.824.501,28564;49.899.522,71297
4;2023;6,00;0,79209;8.788.752,22099;0,00;0,00;0,00;0,00;0,00;0,00;4.384,76469;1.645.818,88749;970.677,96188;422.668,78111;0,00;58.011,5518;69.230,6283;110.641,67088;14.588,29352;833.583,2916;491.506,02735;214.331,46895;0,00;29.352,67111;35.029,29675;55.982,44617;7.381,38127;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;118.347,0304;180.637,37798;0,00;0,00;2.782.771,35216;100.261,35482;82.964,28798;0,00;0,00;14.303,64273;2.993,4241;0,00;1.088.837,48023;303.015,88262;580.478,76201;0,00;61.798,00311;86.110,85002;18.323,01474;21.969,67479;17.141,29293;0,00;1.189.098,83505;1.593.672,51711;51.161.854,77705;6,00;3.089.591,7138;54.582.786,94388
5;2024;6,00;0,74725;8.746.194,55669;0,00;0,00;0,00;0,00;0,00;0,00;5.651,05429;1.637.849,3594;965.977,6602;420.622,09739;0,00;57.730,6432;68.895,3937;110.105,9121;14.517,65281;829.978,23409;489.486,92688;213.364,09378;0,00;29.210,53704;34.859,67483;55.711,36307;7.345,6385;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;152.524,83099;210.923,8561;0,00;0,00;2.836.927,33487;99.227,62092;82.085,02831;0,00;0,00;14.155,10921;2.987,4834;0,00;1.441.365,3452;568.991,12148;627.151,41011;0,00;73.918,06575;101.253,2522;26.096,62505;21.863,29131;22.091,5793;0,00;1.540.592,96612;1.296.334,36875;55.551.472,80093;6,00;3.352.747,27876;59.231.868,59139
6;2025;6,00;0,70495;8.532.940,47444;0,00;0,00;0,00;0,00;0,00;0,00;6.568,08273;1.597.914,49862;942.424,71062;410.366,27941;0,00;56.323,02583;67.215,55181;107.421,25478;14.163,67616;810.107,24794;477.775,95366;208.303,76004;0,00;28.498,31114;34.009,70883;54.352,9808;7.166,53347;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;177.275,89525;231.664,40163;0,00;0,00;2.823.530,12616;98.107,52157;81.128,73363;0,00;0,00;13.997,52945;2.981,25848;0,00;1.708.223,44904;690.236,91155;733.452,75943;0,00;85.969,60363;116.270,01455;35.287,44583;21.330,20963;25.676,50442;0,00;1.806.330,97061;1.017.199,15555;59.948.943,1361;6,00;3.614.944,06482;63.864.011,81176
